province_id,enroll_batch_id,id,name,ppmetadata_batchId
420000,1003,1003,高职专科批,4
640000,1001,1001,本科一批,1
640000,1002,1002,本科二批,2
640000,1003,1003,高职专科批,4
640000,1004,1004,本科三批,3
370000,1003,1003,高职专科批,4
370000,1005,1005,本科批,1
110000,1003,1003,高职专科批,4
110000,1007,1007,本科第二批,2
650000,1002,1002,本科二批,2
650000,1003,1003,高职专科批,4
520000,1003,1003,高职专科批,4
520000,1002,1002,本科二批,2
130000,1001,1001,本科一批,1
130000,1002,1002,本科二批,2
130000,1003,1003,高职专科批,4
210000,1005,1005,本科批,2
210000,1003,1003,高职专科批,4
610000,1002,1002,本科二批,2
610000,1003,1003,高职专科批,4
610000,1001,1001,本科一批,1
220000,1003,1003,高职专科批,4
520000,1001,1001,本科一批,1
110000,1006,1006,本科第一批,1
340000,1003,1003,高职专科批,4
340000,1001,1001,本科一批,1
340000,1002,1002,本科二批,2
610000,1004,1004,本科三批,3
650000,1001,1001,本科一批,1
510000,1002,1002,本科二批,2
510000,1003,1003,高职专科批,4
510000,1001,1001,本科一批,1
140000,1010,1010,本科一批B类,1
140000,1009,1009,本科一批A1类,1
140000,1008,1008,本科一批A类,1
140000,1013,1013,本科二批C类,2
140000,1012,1012,本科二批B类,2
140000,1011,1011,本科二批A类,2
140000,1003,1003,高职专科批,4
420000,1002,1002,本科二批,2
450000,1003,1003,高职专科批,4
500000,1001,1001,本科一批,1
500000,1002,1002,本科二批,2
500000,1003,1003,高职专科批,4
620000,1004,1004,本科三批,3
620000,1003,1003,高职专科批,4
420000,1001,1001,本科一批,1
620000,1001,1001,本科一批,1
620000,1002,1002,本科二批,2
120000,1018,1018,本科A段,1
440000,1005,1005,本科批,2
230000,1014,1014,本科一批A段,1
230000,1015,1015,本科一批B段,1
230000,1003,1003,高职专科批,4
230000,1016,1016,本科二批A段,2
230000,1017,1017,本科二批B段,2
450000,1002,1002,本科二批,2
450000,1001,1001,本科一批,1
440000,1003,1003,高职专科批,4
530000,1001,1001,本科一批,1
530000,1002,1002,本科二批,2
530000,1003,1003,高职专科批,4
410000,1001,1001,本科一批,1
410000,1002,1002,本科二批,2
410000,1003,1003,高职专科批,4
230000,1004,1004,本科三批,3
120000,1003,1003,高职专科批,4
220000,1004,1004,本科三批,3
220000,1016,1016,本科二批A段,2
220000,1017,1017,本科二批B段,2
320000,1006,1006,本科第一批,1
320000,1003,1003,高职专科批,4
220000,1014,1014,本科一批A段,1
220000,1015,1015,本科一批B段,1
350000,1002,1002,本科二批,2
350000,1003,1003,高职专科批,4
350000,1001,1001,本科一批,1
360000,1001,1001,本科一批,1
360000,1002,1002,本科二批,2
360000,1003,1003,高职专科批,4
120000,1019,1019,本科B段,2
320000,1007,1007,本科第二批,2
430000,1001,1001,本科一批,1
430000,1002,1002,本科二批,2
430000,1003,1003,高职专科批,4
430000,1004,1004,本科三批,3
420000,1003,1003,高职专科批,4
640000,1001,1001,本科一批,1
640000,1002,1002,本科二批,2
640000,1003,1003,高职专科批,4
640000,1004,1004,本科三批,3
370000,1003,1003,高职专科批,4
370000,1005,1005,本科批,2
110000,1003,1003,高职专科批,4
110000,1007,1007,本科第二批,2
650000,1002,1002,本科二批,2
650000,1003,1003,高职专科批,4
520000,1003,1003,高职专科批,4
520000,1002,1002,本科二批,2
130000,1001,1001,本科一批,1
130000,1002,1002,本科二批,2
130000,1003,1003,高职专科批,4
210000,1005,1005,本科批,2
210000,1003,1003,高职专科批,4
610000,1002,1002,本科二批,2
610000,1003,1003,高职专科批,4
610000,1001,1001,本科一批,1
220000,1003,1003,高职专科批,4
520000,1001,1001,本科一批,1
110000,1006,1006,本科第一批,1
340000,1003,1003,高职专科批,4
340000,1001,1001,本科一批,1
340000,1002,1002,本科二批,2
610000,1004,1004,本科三批,3
650000,1001,1001,本科一批,1
510000,1002,1002,本科二批,2
510000,1003,1003,高职专科批,4
510000,1001,1001,本科一批,1
140000,1010,1010,本科一批B类,1
140000,1009,1009,本科一批A1类,1
140000,1008,1008,本科一批A类,1
140000,1013,1013,本科二批C类,2
140000,1012,1012,本科二批B类,2
140000,1011,1011,本科二批A类,2
140000,1003,1003,高职专科批,4
420000,1002,1002,本科二批,2
450000,1003,1003,高职专科批,4
500000,1001,1001,本科一批,1
500000,1002,1002,本科二批,2
500000,1003,1003,高职专科批,4
620000,1004,1004,本科三批,3
620000,1003,1003,高职专科批,4
420000,1001,1001,本科一批,1
620000,1001,1001,本科一批,1
620000,1002,1002,本科二批,2
120000,1018,1018,本科A段,1
440000,1005,1005,本科批,2
230000,1014,1014,本科一批A段,1
230000,1015,1015,本科一批B段,1
230000,1003,1003,高职专科批,4
230000,1016,1016,本科二批A段,2
230000,1017,1017,本科二批B段,2
450000,1002,1002,本科二批,2
450000,1001,1001,本科一批,1
440000,1003,1003,高职专科批,4
530000,1001,1001,本科一批,1
530000,1002,1002,本科二批,2
530000,1003,1003,高职专科批,4
410000,1001,1001,本科一批,1
410000,1002,1002,本科二批,2
410000,1003,1003,高职专科批,4
230000,1004,1004,本科三批,3
120000,1003,1003,高职专科批,4
220000,1004,1004,本科三批,3
220000,1016,1016,本科二批A段,2
220000,1017,1017,本科二批B段,2
320000,1006,1006,本科第一批,1
320000,1003,1003,高职专科批,4
220000,1014,1014,本科一批A段,1
220000,1015,1015,本科一批B段,1
350000,1002,1002,本科二批,2
350000,1003,1003,高职专科批,4
350000,1001,1001,本科一批,1
360000,1001,1001,本科一批,1
360000,1002,1002,本科二批,2
360000,1003,1003,高职专科批,4
120000,1019,1019,本科B段,2
320000,1007,1007,本科第二批,2
430000,1001,1001,本科一批,1
430000,1002,1002,本科二批,2
430000,1003,1003,高职专科批,4
430000,1004,1004,本科三批,3
